State,Deaths,Maternal Mortality Rate,95% Lower Confidence Limit,95% Upper Confidence Limit
Alabama,96,41.4,33.5,50.5
Alaska,10,*,*,*
Arizona,99,31.4,25.5,38.3
Arkansas,63,43.5,33.4,55.7
California,176,10.1,8.6,11.6
Colorado,38,15.2,10.7,20.8
Connecticut,23,16.7,10.6,25
Delaware,8,*,*,*
District of Columbia,11,*,*,*
Florida,228,26.3,22.9,29.7
Georgia,169,33.9,28.8,39
Hawaii,12,*,*,*
Idaho,16,*,*,*
Illinois,95,17.3,14,21.1
Indiana,100,31.1,25,37.3
Iowa,30,20.2,13.6,28.9
Kansas,31,22,15,31.3
Kentucky,81,38.4,30.5,47.7
Louisiana,91,39,31.4,47.9
Maine,5,*,*,*
Maryland,59,21.2,16.2,27.4
Massachusetts,42,15.3,11.1,20.7
Michigan,83,19.4,15.5,24.1
Minnesota,33,12.6,8.7,17.7
Mississippi,62,43,32.9,55.1
Missouri,73,25.7,20.4,32.3
Montana,13,*,*,*
Nebraska,26,26.2,17.1,38.4
Nevada,30,21.7,14.7,31
New Hampshire,7,*,*,*
New Jersey,103,25.7,20.8,30.7
New Mexico,27,30.2,19.9,44
New York,188,21.7,18.6,24.8
North Carolina,126,26.5,21.9,31.2
North Dakota,10,*,*,*
Ohio,126,23.8,19.7,28
Oklahoma,59,30.3,23,39
Oregon,27,16.4,10.8,23.8
Pennsylvania,89,16.7,13.4,20.5
Rhode Island,7,*,*,*
South Carolina,74,32.7,25.6,41
South Dakota,13,*,*,*
Tennessee,134,41.7,34.6,48.7
Texas,421,28.1,25.4,30.8
Utah,30,16.1,10.9,23
Vermont,1,*,*,*
Virginia,113,29.1,23.8,34.5
Washington,69,20.4,15.9,25.8
West Virginia,18,*,*,*
Wisconsin,29,11.6,7.8,16.7
Wyoming,4,*,*,*
United States,3478,23.5,22.7,24.3
